[1, 2, 3, 6, 8], [3, 4, 2, 6, 5]
[1, 2, 3, 6, 8], [5, 6, 3, 2, 4]
[1, 2, 3, 6, 8], [20, 30, 10, 80, 60]
[1, 2, 3, 6, 8], [60, 80, 20, 10, 30]
[1, 2, 3, 6, 8], [30, 40, 20, 60, 50]
[1, 2, 3, 6, 8], [50, 60, 30, 20, 40]
[2, 3, 4, 5, 6], [2, 3, 1, 8, 6]
[2, 3, 4, 5, 6], [6, 8, 2, 1, 3]
[2, 3, 4, 5, 6], [20, 30, 10, 80, 60]
[2, 3, 4, 5, 6], [60, 80, 20, 10, 30]
[2, 3, 4, 5, 6], [30, 40, 20, 60, 50]
[2, 3, 4, 5, 6], [50, 60, 30, 20, 40]
[10, 20, 30, 60, 80], [2, 3, 1, 8, 6]
[10, 20, 30, 60, 80], [6, 8, 2, 1, 3]
[10, 20, 30, 60, 80], [3, 4, 2, 6, 5]
[10, 20, 30, 60, 80], [5, 6, 3, 2, 4]
[10, 20, 30, 60, 80], [30, 40, 20, 60, 50]
[10, 20, 30, 60, 80], [50, 60, 30, 20, 40]
[20, 30, 40, 50, 60], [2, 3, 1, 8, 6]
[20, 30, 40, 50, 60], [6, 8, 2, 1, 3]
[20, 30, 40, 50, 60], [3, 4, 2, 6, 5]
[20, 30, 40, 50, 60], [5, 6, 3, 2, 4]
[20, 30, 40, 50, 60], [20, 30, 10, 80, 60]
[20, 30, 40, 50, 60], [60, 80, 20, 10, 30]
